SiteName,Camera,lon,lat,date
Paddysland,B09,152.224771,-30.08284,2014/12/16 09:37:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 09:38:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 09:47:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 09:51:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 09:54:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 09:55:00
Paddysland,B08,152.215771,-30.08434,2014/12/16 09:56:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 09:57:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 10:00:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 10:02:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 10:06:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 10:07:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 10:16:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 10:21:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 10:22:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 10:23:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 10:30:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 10:36:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 10:37:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 10:39:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 11:14:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 11:18:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 11:20:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 11:28:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 11:38:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 11:44:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 11:50:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 11:51:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 11:59:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 12:01:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 12:05:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 12:17:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 12:23:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 12:26:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 12:42:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 12:44:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 12:54:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 13:02:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 13:05:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 13:10:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 13:16:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 13:20:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 13:29:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 13:35:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 13:37:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 13:44:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 13:50:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 13:53:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 14:04:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 14:08:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 14:12:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 14:14:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 14:20:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 14:22:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 16:34:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 16:41:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 16:42:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 16:46:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 16:47:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 16:59:00
Paddysland,B09,152.224771,-30.08284,2014/12/16 17:00:00
Paddysland,W06,152.178073,-30.098792,2014/12/16 17:48:00
Paddysland,MG02,152.161326,-30.088263,2014/12/16 18:31:00
Paddysland,MG01,152.165443,-30.079649,2014/12/16 19:03:00
Paddysland,B04,152.186567,-30.089872,2014/12/16 21:32:00
Paddysland,SP01,152.250767,-30.070977,2014/12/16 22:37:00
Paddysland,MG01,152.165443,-30.079649,2014/12/16 23:34:00
Paddysland,SP03,152.246335,-30.053784,2014/12/16 23:55:00
Paddysland,W03,152.151558,-30.093735,2014/12/16 23:55:00
Paddysland,W03,152.151558,-30.093735,2014/12/17 00:09:00
Paddysland,B10,152.233846,-30.077107,2014/12/17 01:01:00
Paddysland,W01,152.134154,-30.091017,2014/12/17 02:06:00
Paddysland,B01,152.165631,-30.073864,2014/12/17 02:14:00
